MENU_ITEM_ID,MENU_TYPE_ID,ITEM_NAME,ITEM_CATEGORY,COST_OF_GOODS_USD,SALE_PRICE_USD,IS_HEALTHY_FLAG,_LOADED_AT
1,1,Classic Grilled Cheese,Sandwich,1.80,7.50,FALSE,2026-03-01 05:00:00
2,1,Turkey Club,Sandwich,2.60,9.50,FALSE,2026-03-01 05:00:00
3,1,Veggie Panini,Sandwich,2.10,8.50,TRUE,2026-03-01 05:00:00
4,2,Pulled Pork Sandwich,BBQ,3.20,11.00,FALSE,2026-03-01 05:00:00
5,2,Smoked Brisket Plate,BBQ,5.40,16.50,FALSE,2026-03-01 05:00:00
6,2,BBQ Loaded Fries,Sides,1.60,6.50,FALSE,2026-03-01 05:00:00
7,3,Kale Caesar Bowl,Salad,2.40,9.00,TRUE,2026-03-01 05:00:00
8,3,Quinoa Power Bowl,Salad,2.90,10.50,TRUE,2026-03-01 05:00:00
9,3,Green Goddess Wrap,Salad,2.30,9.50,TRUE,2026-03-01 05:00:00
10,4,Nutella Banana Crepe,Dessert,1.40,6.50,FALSE,2026-03-01 05:00:00
11,4,Ham and Cheese Crepe,Savoury,2.00,8.00,FALSE,2026-03-01 05:00:00
12,4,Lemon Sugar Crepe,Dessert,0.90,5.00,FALSE,2026-03-01 05:00:00
